id,trigger,condition,recommendation,action,priority,domain,rationale
r001,data_type,has_likert_scales,Apply Factor Analysis to identify latent constructs,run factor_analysis on likert columns,high,survey,Likert batteries often measure underlying dimensions that FA can reveal
r002,distribution,skewness > 2 or skewness < -2,Use median instead of mean for central tendency,report median and IQR instead of mean/std,critical,general,Highly skewed distributions make mean misleading
r003,comparison,n_groups >= 3,Use ANOVA instead of multiple t-tests,apply f_oneway before post-hoc tests,high,general,Multiple t-tests inflate Type I error; ANOVA controls family-wise error
r004,comparison,n_groups == 2 and is_paired,Use Paired T-Test instead of Independent T-Test,apply ttest_rel,high,research,Paired samples violate independence assumption of independent t-test
r005,normality,shapiro_p < 0.05 and n < 30,Use non-parametric alternative,switch to Mann-Whitney U or Kruskal-Wallis,high,general,Small non-normal samples violate parametric test assumptions
r006,normality,n >= 30,Central Limit Theorem applies - parametric tests acceptable,proceed with parametric tests,medium,general,CLT ensures sampling distribution normality for large samples
r007,correlation,has_ordinal_data,Use Spearman instead of Pearson correlation,apply spearmanr,high,survey,Ordinal data violates interval assumption of Pearson
r008,correlation,r > 0.9 between predictors,Check for multicollinearity before regression,calculate VIF and consider removing variables,critical,research,Multicollinearity inflates standard errors and makes coefficients unreliable
r009,missing_data,missing_pct > 5,Document missing data pattern and consider imputation,analyze MCAR/MAR/MNAR and apply appropriate strategy,high,general,Listwise deletion with >5% missing can bias results
r010,missing_data,missing_pct > 30,Variable may be unreliable - consider exclusion,evaluate if variable should be dropped,critical,general,High missingness suggests data quality issues
r011,sample_size,n < 30,Interpret results with caution - limited statistical power,report effect sizes alongside p-values,high,general,Small samples have low power to detect true effects
r012,sample_size,n < 100 and using_fa,Factor Analysis results may be unstable,use fewer factors or consider combining with theory,high,survey,FA requires ~10 observations per variable minimum
r013,outliers,outlier_pct > 5,Investigate outliers before analysis,identify outliers visually and statistically then decide,high,general,Outliers can heavily influence means and correlations
r014,category_size,any_category_n < 5,Merge small categories or use Fisher's Exact Test,combine categories or switch test,high,survey,Chi-square requires expected counts >= 5
r015,survey_type,is_nps_question,Calculate NPS and segment into Promoters/Passives/Detractors,apply standard NPS calculation,high,survey,NPS is industry standard metric with specific calculation method
r016,survey_type,is_satisfaction_scale,Report Top-2-Box and Bottom-2-Box percentages,calculate T2B and B2B proportions,medium,survey,T2B/B2B are common satisfaction reporting metrics
r017,visualization,has_negative_values,Avoid pie charts and stacked areas,use bar chart or waterfall instead,high,general,Pie/stacked area cannot represent negative values correctly
r018,visualization,n_categories > 10,Consider grouping or using horizontal bar chart,group into Other or use alternative viz,medium,general,Too many categories create visual clutter
r019,visualization,comparing_distributions,Use box plots or violin plots instead of bar charts,switch to distribution-focused visualization,medium,general,Bar charts hide distribution shape and outliers
r020,visualization,showing_change,Consider using slope chart or bump chart,apply appropriate change visualization,medium,general,Standard charts may not emphasize change effectively
r021,report_type,is_executive,Lead with key findings and recommendations,structure report with executive summary first,high,general,Executives have limited time - lead with conclusions
r022,report_type,is_technical,Include methodology and statistical details,add appendix with full statistical output,high,research,Technical audiences need reproducibility details
r023,segmentation,goal_is_personas,Use K-Means or Hierarchical clustering on behavioral variables,apply clustering after dimensionality reduction,high,marketing,Personas require grouping similar respondents
r024,segmentation,n_clusters_unknown,Use elbow method or silhouette score to determine K,calculate metrics for K=2 to K=10,high,marketing,Optimal K should be determined empirically
